review,labels,flight_delay_cancellation,checkin_boarding_process,baggage_issues,inflight_experience,pricing_fees,online_booking,date
Dont buy the business combo or flexibility or any of the options that allow you to change flight dates. They will make you call in to change the flight and charge you the difference between an old ticket and a new ticket. this is more than the cost of a new ticket Customer service is basically like talking to a frustrating robot who have prescripted lines and are unable to deviate from the scripts. Its like talking to AI that doesnt really understand you and gives answers that dont inform you of the policies nor help solve a solution. You might save a couple bucks on the fare but you will more than pay for it in time on the phone customer service delays and frustration.,pricing_fees_negative,0,0,0,0,-1,0,2025-11-10 00:00:00.000000000
I wasnt quite sure what to expect having read mixed reviews but I needed a costeffective way to move myself my daughter and our two small dogs from the US to the UK via France its much easier to get a dog into the EU than it is to the UK and then cross the border from there and French Bee seemed to fit the bill. Very pleasantly surprised All the staff we encountered both at the airport and on board were extremely pleasant and helpful. The gentleman at Newark who checked us in two stressed people two stressed dogs and a metric ton of luggage. The flight was packed to the gills with rude people and slightly delayed but it was the holidays. For the extremely reasonable price I was able to get two people two dogs and six checked bags to Paris from New York for less than 1500 the week before Christmas the plane was comfortable. This is one of the few flights I have been able to sleep on so I did not make much use of the entertainment system but it seemed robust. I did pay for breakfast in the morning which was nothing over the top special but not bad and much cheaper than buying something in the airport. The overhead bins were huge and seemed to accommodate a lot more luggage than normal. And for a budget airline the experience wasnt much different than what you would get from a large legacy carrier Most importantly my dogs arrived safe and relatively unbothered by their adventure though I had serious concerns about them flying in their crates they are too large to fit in carriers under the seat. Thank you to the staff who handled them so well and kept them safe,checkin_boarding_process_positive | inflight_experience_positive | pricing_fees_positive,0,1,0,1,1,0,2025-11-10 00:05:45.669133826
Los Angeles to Copenhagen via Reykjavik. Ive made the stupidest mistake of booking with Wow for the second time first time I booked made a mistake called 1 minute later and even though i just wanted to change the flight to another wow air flight I had to purchase an entirely new ticket. This time Im supposed to fly on the 20th December with a two hour layover in Reykjavik. I get a text 3 days before my flight saying that theyve had unforeseen circumstances and that im going to fly on the 19th of December instead. This means that i will have 16 hours of layover instead. I can see that there is a flight from Reykjavik to Copenhagen on the 20th of December that would allow me fewer hours of layover but because my flight is from Lax to Copenhagen with a layover in Reykjavik they cant just change my second flight to reduce my layover. It is absolutely insane how inflexible the customer service for this airline is. Oh and you thought that i would get some type of compensation for this inconvenience 0. Actually i have to pay for this mistake because i am missing an extra day of work.,flight_delay_cancellation_negative | online_booking_negative,-1,0,0,0,0,-1,2025-11-10 00:11:31.338267653
Never had such a poor experience time after time worst trained agents at the desks and stations to let you into the plane. They dont care about customers nor how much they paid to buy their flights and turn on top of that they penny pinch you for every little thing. Like asking you to pay for your carry on Then after you pay they have a separate line for those that didnt pay so you can still go in with carry on with out paying makes no sense. I waited in line like any normal customer for boarding then as about to get in they said I needed that little piece of paper from immigration its that they didnt have any extras there so they told me I had to leave out of the airport and then back through security. I told them I had my computer bag stolen a there in Mexico a few days earlier so to just let me fill it out in the plane or when I land in US. They says no I then took off running like they said cant back drenched in sweat and they said I couldnt get in because they cut off to board was 147 and it was 153. Meanwhile people were still boarding as I could see them going up the stairs into plane. Then they sent me to a different gate to get a new ticket for the following day they charged me an additional 100 to get a new one. I will never fly with them again.,checkin_boarding_process_negative | pricing_fees_negative,0,-1,0,0,-1,0,2025-11-10 00:17:17.007401480
Fabulous flights with AirAsia X yet again. Both long flights were overnighters so the lie flat beds are brilliant. Service was excellent as was the food. First two flights on time but coming home half an hour delay from Phuket to KL then the flight into Gold Coast was half an hour late arriving too but very minimal. Didnt use the entertainment. Just slept read. Just brilliant that these PremiumBusiness class flights are affordable even by us. Could never afford it with a full service airline.,flight_delay_cancellation_negative | inflight_experience_positive | pricing_fees_positive,-1,0,0,1,1,0,2025-11-10 00:23:02.676535307
MontevideoAeroparqueAsuncion. I have to say that there is an improvement in the service. Still there are delays and poor customer service on the ground. But on board there are new and comfortable planes and nice and attentive FA. Connecting in Aeroparque Buenos Aires city airport is always fast and easy. First leg delayed connection on time. Bags arrived at my destination with me.,flight_delay_cancellation_positive | inflight_experience_positive,1,0,0,1,0,0,2025-11-10 00:28:48.345669133
London to Hong Kong via Singapore. Until now I have been very happy with SQ and have always preferred it above Cathay Pacific hence the extra 4 hours in taking these flights instead of the direct flights The flight was great and nothing to complain .. as a cardholder I had access to the lounge and SQ has been always great in accepting my kids younger then 12yrs with me in their lounges. Upon arrival in Hong Kong I discovered that one of my suitcases was damaged zipper was damaged and could not be used anymoreI went straight to their handling agent and was offered 3 options 1 they could provide me with a report for my travel insurance 2 They could try to fix it or 3 I was offered 500 HKD 50 Euro as compensation. I argued with them that they destroyed the luggage so why should my insurance pay for their damaged caused also the 500HKD would never cover a new suitcase bought a year ago so I asked to see somebody from Singapore airlines .. a girl appeared and immediately the same offer was made but the amount got up to 800HKD .. I argued that the money wouldnt even cover a new one. So she agreed to have my luggage picked up from my place in Hkg and tried to have it repaired. Nothing happened for 3 days and I was forced to contact the airline direct. Anyway suitcase was picked up on Thursday and was told on Saturday afternoon that they couldnt fix it and would offer me 1080HKD no idea how they came to that amount and it was a take it or leave it deal. What actually made it worse that up till today I have not received any apologies or even an acknowledgement of damage caused by them.,baggage_issues_negative,0,0,-1,0,0,0,2025-11-10 00:34:34.014802960
I flew from Rome to Olbia and back with my family of 4. For FCOOLB leg I purchased the ticket for the mid day flight. It got cancelled and we had to take the evening flight as others here have reported. That flight was delayed for more than an hour so we arrived much later than anticipated. Our baggage was delayed for more than 3 days.,flight_delay_cancellation_negative | baggage_issues_negative,-1,0,-1,0,0,0,2025-11-10 00:40:19.683936787
Manila to Chicago via Seoul. Ground crew in Manila are approachable and knowledgeable. The flight crew from Seoul to Chicago are efficient but I noticed that they dont often serve juicesdrinks during the midflight especially when the lights are dimmed. You need to call their attention if you need drinks.,inflight_experience_negative,0,0,0,-1,0,0,2025-11-10 00:46:05.353070614
Johannesburg to Hong Kong via Dubai. Our flight took off and about about 2 or 3 hours into the flight the captain of our flight announced that our flight had been turned back to Johannesburg due to a problem at Dubai airport. No further announcements were made. On arrival back in Johannesburg we disembarked the plane and waited approximately 2 hours to receive our luggage after which we were ushered to a bus taking us to a hotel where we would spend the night. Bearing in mind that our hotel arrangements were in place when landed back in Johannesburg this could have been communicated to passengers over the PA system or by Emirates ground crew. We were not given any update as to what would happen to our connections. We were shuttled back to the airport at 2am boarding commenced at 3am and we took off again at 5 am. At no point were we given any indication of what would happen to our connections. When we arrived in Dubai around 330pm we were greeted with the chaos that was Dubai Airport and then spent 11 hours waiting to be assigned new connecting flights. I was eventually given a connecting flight to Hong Kong 2 days later and put on standby for a flight leaving 3am on 5 August. Rudeness from Emirate ground staff all we were given were muffins juice and water for sustenance. Not a single Emirates employee made an announcement to make sense of the chaos nor where there any notices or communications. Passengers on flights that arrived an hour or 2 after hours sailed through to their connecting flights as is customary because they had been issued with connecting boarding passes at their departing airports. They also lost my luggage for the duration of my trip,flight_delay_cancellation_negative | baggage_issues_negative | checkin_boarding_process_negative,-1,-1,-1,0,0,0,2025-11-10 00:51:51.022204440
Came back home from TLV to Chicago via Madrid. It was a surprising experience which was mixed. Queue at Bengurion airport for pre checkin security screening was insane almost 2 hours. Then at checkin they let us know we needed a mask and we were downgraded to premium economy due to an aircraft switch from Iberia to Level. Bearing in mind Lufthansa and KLM have A320 on this route I do not see that as an issue especially since I was travelling on mileage. She apologized. Had to stop at the duty free to buy a mask. Skipped the lounge as I went straight to gate for boarding. The seat was not that bad predeparture drink. Staff really courteous. Meal ok. The staff was available for request and the in flight entertainment was ok. Remote stand. Off boarding was delayed because there was a passenger who was extradited to Spain who had to be off boarded first which caused delays. Security screening in Madrid efficient. Getting to the S gates was ok got into the lounge. Very good lounge better than Lufthansa with good food selection decent drink choices. Crowded but not too bad. Boarding efficient. Staff on board excellent. The purser was really lovely very friendly. He was originally from Britain and he really cared. The crew with him was a mix of senior and less senior and they were professional. Not over intrusive. Excellent meal service. Excellent wine list. Sleeping and resting was comfortable. Landing at OHare long walk to immigration. Not long queue one of the luggage did not make it. For Iberias defence there was a lady from Iberia at the baggage carousel who gave me a form to fill. Got notified 2 days later that my bag will arrive to Chicago and on Monday 11 received the bag at home. Not sure why it took 5 days to deliver but that was really the spoiler in otherwise a very positive experience. Would give them a try again.,checkin_boarding_process_negative | baggage_issues_negative | inflight_experience_positive,0,-1,-1,1,0,0,2025-11-10 00:57:36.691338267
